property,propertyLabel,aliases,dataTypeLabel,constraints,domains,ranges,exampleEntities,relatedProperties,externalIdentifiers,hierarchy,description
http://www.wikidata.org/entity/P102,member of political party,"political party, party, member of, member of party, party membership, political party member",http://wikiba.se/ontology#WikibaseItem,"citation-needed constraint, allowed qualifiers constraint, property scope constraint, allowed-entity-types constraint, none-of constraint, contemporary constraint, subject type constraint, value-type constraint",,,,,,member of,the political party of which a person is or has been a member or otherwise affiliated
http://www.wikidata.org/entity/P108,employer,"organization, organisation, employed by, worked at, worked for, working at, working for, working place, works at, works for, of employer",http://wikiba.se/ontology#WikibaseItem,"conflicts-with constraint, allowed qualifiers constraint, property scope constraint, subject type constraint, value-type constraint, allowed-entity-types constraint, contemporary constraint",,,,,,affiliation,person or organization for which the subject works or worked
http://www.wikidata.org/entity/P112,founded by,"begun by, establisher, instituted by, institutor, creator, founder, created by, established by, co-founder, starter, donated by, cofounder, co-founded by, cofounded by, founders, started by",http://wikiba.se/ontology#WikibaseItem,"value-type constraint, conflicts-with constraint, property scope constraint, allowed-entity-types constraint, item-requires-statement constraint, subject type constraint",,,,,,creator,"founder or co-founder of this organization, religion, place or entity"
http://www.wikidata.org/entity/P118,league or competition,"division, sports league, competition, tournament, cup",http://wikiba.se/ontology#WikibaseItem,"property scope constraint, allowed-entity-types constraint, contemporary constraint, subject type constraint",,,,,,participant in,"league or competition in which team or player has played, or in which an event occurs"
http://www.wikidata.org/entity/P123,publisher,"publishing house, video game publisher, comic book publisher, comic publisher, book publisher, board game publisher, music publisher, software publisher, sheet music publisher, printed music publisher, published by",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, value-type constraint, allowed-entity-types constraint, contemporary constraint, subject type constraint, conflicts-with constraint, property scope constraint",,,,,,,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software"
http://www.wikidata.org/entity/P127,owned by,"proprietor, provenance, owner, shareholder, stockholder, belonged to, belongs to, is owned by, owners, shareholders, stockholders",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, contemporary constraint, allowed qualifiers constraint, property scope constraint, allowed-entity-types constraint, value-type constraint, subject type constraint",,,,,,,owner of the subject
http://www.wikidata.org/entity/P131,located in the administrative territorial entity,"town, city, locality, region, administrative territorial entity, state, territory, located in the territorial entity, location (administrative territorial entity), administrative territory, happens in, in, in administrative unit, in the administrative unit, Indian reservation, is in administrative unit, is in the administrative region of, is in the administrative unit, is in the arrondissement of, is in the borough of, is in the city of, is in the commune of, is in the county of, is in the department of, is in the district of, is in the Indian reservation of, is in the Indian reserve of, is in the local government area of, is in the municipality of, is in the parish of, is in the prefecture of, is in the principal area of, is in the province of, is in the region of, is in the rural city of, is in the settlement of, is in the shire of, is in the state of, is in the territory of, is in the town of, is in the village of, is in the voivodeship of, is in the ward of, is located in, located in administrative unit, located in the administrative unit",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, allowed-entity-types constraint, item-requires-statement constraint, value-requires-statement constraint, allowed qualifiers constraint, property scope constraint, value-type constraint",,,,,,"location, part of",the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.
http://www.wikidata.org/entity/P136,genre,"music genre, literary genre, film genre, genre of music, genre of literature, art style, genres, kind of music, type of film, artistic genre, type of music",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, conflicts-with constraint, property scope constraint, one-of constraint, subject type constraint, allowed-entity-types constraint, contemporary constraint, value-type constraint",,,,,,,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic
http://www.wikidata.org/entity/P137,operator,"manager, administrator, user, managed by, provided by, facility operator, item operator, maintainer, operated by, run by, service operator, webmaster, website operator, service provider, offered by, in use by, controlled by",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, contemporary constraint, property scope constraint, allowed-entity-types constraint, value-type constraint",,,,,,used by,"person, profession, organization or entity that operates the equipment, facility, or service"
http://www.wikidata.org/entity/P140,religion or worldview,"follower of religion, follows religion, has religion, life stance, religion or world view, religious affiliation, believes, devotee of, religion, belief system, faith, worldview, pantheon, denomination",http://wikiba.se/ontology#WikibaseItem,"none-of constraint, property scope constraint, citation-needed constraint, value-type constraint, contemporary constraint, one-of constraint, subject type constraint, allowed-entity-types constraint",,,,,,,"religion of a person, organization or religious building, or associated with this subject"
