property,propertyLabel,aliases,description
P102,member of political party,"political party, party, member of, member of party, party membership, political party member",the political party of which a person is or has been a member or otherwise affiliated
P108,employer,"organization, organisation, employed by, worked at, worked for, working at, working for, working place, works at, works for, of employer",person or organization for which the subject works or worked
P112,founded by,"begun by, establisher, instituted by, institutor, creator, founder, created by, established by, co-founder, starter, donated by, cofounder, co-founded by, cofounded by, founders, started by","founder or co-founder of this organization, religion, place or entity"
P118,league or competition,"division, sports league, competition, tournament, cup","league or competition in which team or player has played, or in which an event occurs"
P123,publisher,"publishing house, video game publisher, comic book publisher, comic publisher, book publisher, board game publisher, music publisher, software publisher, sheet music publisher, printed music publisher, published by","organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software"
P127,owned by,"proprietor, provenance, owner, shareholder, stockholder, belonged to, belongs to, is owned by, owners, shareholders, stockholders",owner of the subject
P131,located in the administrative territorial entity,"town, city, locality, region, administrative territorial entity, state, territory, located in the territorial entity, location (administrative territorial entity), administrative territory, happens in, in, in administrative unit, in the administrative unit, Indian reservation, is in administrative unit, is in the administrative region of, is in the administrative unit, is in the arrondissement of, is in the borough of, is in the city of, is in the commune of, is in the county of, is in the department of, is in the district of, is in the Indian reservation of, is in the Indian reserve of, is in the local government area of, is in the municipality of, is in the parish of, is in the prefecture of, is in the principal area of, is in the province of, is in the region of, is in the rural city of, is in the settlement of, is in the shire of, is in the state of, is in the territory of, is in the town of, is in the village of, is in the voivodeship of, is in the ward of, is located in, located in administrative unit, located in the administrative unit",the item is located on the territory of the following administrative entity. Use (P276 location) for specifying locations that are non-administrative places and for items about events.
P136,genre,"music genre, literary genre, film genre, genre of music, genre of literature, art style, genres, kind of music, type of film, artistic genre, type of music",creative work's genre or an artist's field of work.
P137,operator,"manager, administrator, user, managed by, provided by, facility operator, item operator, maintainer, operated by, run by, service operator, webmaster, website operator, service provider, offered by, in use by, controlled by","person, profession, organization or entity that operates the equipment, facility, or service"
P140,religion or worldview,"follower of religion, follows religion, has religion, life stance, religion or world view, religious affiliation, believes, devotee of, religion, belief system, faith, worldview, pantheon, denomination","religion of a person, organization or religious building, or associated with this subject"
P150,contains the administrative territorial entity,"divided into, contains, contains administrative territorial entity, has shires, has states, has towns, has villages, has wards, includes the administrative territorial entity, subdivided into, divides into, has administrative divisions, has arrondissements, has boroughs, has cities, has counties, has countries, has districts, has local government areas, has members, has municipalities, has regions, has rural cities",(list of) direct subdivisions of an administrative territorial entity
P155,follows,"split from, predecessor, preceded by, succeeds, before was, comes after, is after, prequel is, prev, previous element, previous is, sequel of, succeeds to, successor to","immediately prior item in a series of which the subject is a part, preferably use as qualifier of (P179 part of the series) [if the subject has replaced the preceding item, e.g. political offices, use (P1365 replaces)]"
P156,followed by,"prequel of, sequel is, then, succeeded by, successor, comes before, continued as, next, next element, next is, precedes","immediately following item in a series of which the subject is a part, preferably use as qualifier of (P179 part of the series) [if the subject has been replaced, e.g. political offices, use (P1366 replaced by)]"
P159,headquarters location,"seat, HQ, based in, headquarters, garrison, admin HQ, head office location, head quarters, HQ location, location of headquarters, principal office, headquarters city, headquarters locality, headquarters town",city or town where an organization's headquarters is or has been situated. Use (P276 location) qualifier for specific building
P161,cast member,"actor, actress, feat., contestant of a play, film starring, starring, starring (film/play)",actor in the subject production
P162,producer,"musical producer, film producer, record producer, music producer, produced by, creative producer","person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use (P272 production company), video games - use (P178 developer)]"
P166,award received,"award won, awarded, awards received, honorary title, honors, honours, medals, prize awarded, prize received, recognition title, win, winner of, award, awards, received award","award or recognition received by a person, organization or creative work"
P17,country,"state, land, host country, sovereign state",sovereign state that this item is in (not to be used for human beings)
P170,creator,"painter, sculptor, visual artist, painted by, realised by, realized by, sculpted by, original author, created by, by, drawer, made by, artwork by, art by, art work by, artist (non-musical), drawn by",maker of this creative work or other object (where no more specific property exists)
P171,parent taxon,"higher taxon, taxon parent",closest parent taxon of the taxon in question
P172,ethnic group,"people, race, ethnicity, culture, (cultural) nationality, ethnic or cultural origin, tribal affiliation","subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)"
P175,performer,"singer, actor, actress, artist, musician, dancer, musical artist, performed by, played by, portrayed by, recorded by, recording by, sung by","actor, musician, band or other performer associated with this role or musical work"
P176,manufacturer,"maker, built by, mfr, assembled by, manufactured by, product of, brewer, producer, builder, assembler, made by, produced by, provided by, provider, brewed by",(main or final) manufacturer or producer of this product
P178,developer,"video game developer, created by, dev, developed by, game dev, game developer, video game dev, written by",organization or person that developed the item
P179,part of the series,"video game series, collection, series, subseries, in series, episode of, issue of, listed in, part of series",series which contains the subject
P19,place of birth,"birth location, birth place, birthplace, location of birth, POB, birth city, born, born at, born in, location born","most specific known birth location of a person, animal or fictional character"
