dataset,split,model,prediction_level,TP,FP,FN,F1,Precision,Recall
docred,dev,v1\deepseek-chat,20,212,215,255,0.4742729306487696,0.4964871194379391,0.4539614561027837
docred,dev,v2\deepseek-chat,20,207,215,260,0.46569178852643417,0.490521327014218,0.44325481798715205
docred,dev,v3\deepseek-chat,20,186,250,281,0.4119601328903654,0.42660550458715596,0.39828693790149894
docred,dev,v4\deepseek-chat,20,254,202,213,0.5503791982665223,0.5570175438596491,0.5438972162740899
docred,dev,v5\deepseek-chat,20,216,247,251,0.4645161290322581,0.46652267818574517,0.4625267665952891
docred,dev,v1\gpt-4o-mini,20,85,274,382,0.20581113801452786,0.23676880222841226,0.18201284796573874
docred,dev,v2\gpt-4o-mini,20,68,214,399,0.18157543391188252,0.24113475177304963,0.145610278372591
docred,dev,v3\gpt-4o-mini,20,79,232,388,0.20308483290488433,0.2540192926045016,0.16916488222698073
docred,dev,v4\gpt-4o-mini,20,84,248,383,0.21026282853566958,0.25301204819277107,0.17987152034261242
docred,dev,v5\gpt-4o-mini,20,65,302,402,0.15587529976019185,0.1771117166212534,0.139186295503212
docred,dev,v1\deepseek-reasoner,20,353,138,114,0.7369519832985386,0.7189409368635438,0.7558886509635975
docred,dev,v2\deepseek-reasoner,20,353,91,114,0.7749725576289791,0.795045045045045,0.7558886509635975
docred,dev,v3\deepseek-reasoner,20,348,88,119,0.770764119601329,0.7981651376146789,0.7451820128479657
docred,dev,v4\deepseek-reasoner,20,318,103,149,0.7162162162162162,0.7553444180522565,0.6809421841541756
docred,dev,v5\deepseek-reasoner,20,212,217,255,0.4732142857142857,0.49417249417249415,0.4539614561027837
docred,dev,v2\deepseek-reasoner,None,18419,5625,7617,0.7355830670926518,0.7660539011811679,0.7074435397142418
docred,dev,v4\deepseek-chat,None,12231,12882,13805,0.4782498191557997,0.4870385855931191,0.46977262252266094
redocred,dev,v2\deepseek-reasoner,None,9190,2926,3963,0.7273734615536824,0.7585011554968637,0.6986999163688892
redocred,dev,v4\deepseek-chat,None,6137,6616,7016,0.47378985563189996,0.4812201050733161,0.4665855698319775
redocred,test,v2\deepseek-reasoner,None,9278,2710,3671,0.744115170228977,0.7739406072739407,0.7165032048806858
redocred,test,v4\deepseek-chat,None,6134,6292,6815,0.4834679802955665,0.4936423627877032,0.47370453316858446
docred,dev,v2_refined_v1\deepseek-reasoner,20,389,71,78,0.8392664509169363,0.8456521739130435,0.8329764453961456
docred,dev,v2_refined_v2\deepseek-reasoner,20,388,71,79,0.838012958963283,0.8453159041394336,0.8308351177730193
docred,dev,v4_refined_v1\deepseek-chat,20,288,177,179,0.6180257510729614,0.6193548387096774,0.6167023554603854
docred,dev,v4_refined_v2\deepseek-chat,20,274,182,193,0.5937161430119177,0.6008771929824561,0.5867237687366167
docred,dev,v4_verifier\deepseek-chat,20,398,74,69,0.8477103301384451,0.8432203389830508,0.8522483940042827
docred,dev,v2_verifier\deepseek-reasoner,20,410,51,57,0.8836206896551724,0.8893709327548807,0.8779443254817987
docred,dev,v2_verifier\deepseek-reasoner,None,22891,2398,3145,0.8920019483682416,0.9051761635493693,0.8792057151636196
docred,dev,v4_verifier\deepseek-chat,None,23428,2411,2608,0.9032481927710844,0.9066914354270676,0.899831003226302
redocred,dev,v2_verifier\deepseek-reasoner,None,11531,1197,1622,0.8910783972798578,0.9059553739786298,0.8766821257507793
redocred,dev,v4_verifier\deepseek-chat,None,11793,1249,1360,0.9004008398549341,0.9042324796810305,0.896601535771307
redocred,test,v2_verifier\deepseek-reasoner,None,11423,1204,1526,0.893259305598999,0.9046487685119189,0.8821530620125106
redocred,test,v4_verifier\deepseek-chat,None,11699,1166,1250,0.906407375842566,0.9093664982510687,0.9034674492238783
